#clorosis
"77,87,27"
"85,96,36"
"53,70,16"
"50,67,13"
"76,86,26"
"55,72,18"
"54,71,17"
"70,84,25"
"78,88,28"
"75,85,25"
"75,86,26"
"69,83,24"
"79,89,29"
"68,82,23"
"55,71,22"
"56,72,23"
"59,77,25"
"56,76,23"
"67,81,22"
"71,85,26"
"53,69,20"
"61,79,27"
"60,78,26"
"61,78,26"
"66,80,21"
"59,73,22"
"55,69,18"
"61,75,24"
"58,72,21"
"61,80,25"
"62,81,26"
#fondo
"173,172,167"
"174,173,168"
"171,170,165"
"175,174,169"
"160,162,161"
"161,163,162"
"162,164,163"
"172,171,166"
"170,169,164"
"159,161,160"
"163,165,164"
"163,163,163"
"162,162,162"
"176,175,170"
"165,165,165"
"177,176,171"
"161,161,161"
"178,177,172"
"179,178,173"
"180,179,174"
"181,180,175"
"182,181,176"
"164,164,164"
"184,183,178"
"186,185,180"
"185,184,179"
"187,186,181"
"182,181,177"
"183,182,178"
"184,183,179"
"183,182,177"
"180,179,175"
"176,175,171"
"174,173,169"
"173,172,168"
"172,171,167"
"166,166,166"
"169,168,164"
"168,167,163"
"170,169,165"
"168,167,162"
"167,166,161"
"169,168,163"
"163,163,161"
"161,161,159"
"162,162,160"
"166,167,162"
"167,168,163"
"168,169,163"
"166,167,161"
"167,168,162"
"169,170,164"
"168,169,164"
"164,165,160"
"164,164,162"
"166,166,164"
"165,166,161"
"165,165,163"
