#clorosis
135,103,178
134,102,177
135,101,177
139,100,179
142,101,180
141,96,177
140,95,176
140,95,178
137,95,177
80,116,164
83,115,166
84,114,168
86,113,168
81,112,166
59,136,156
63,138,159
60,135,158
61,133,157
63,135,159
131,103,177
130,102,176
132,102,176
135,101,178
139,98,177
140,97,177
142,94,178
79,117,164
82,114,165
83,113,167
87,113,170
82,111,167
57,132,153
62,134,158
65,137,161
67,137,162
130,104,177
129,103,176
134,102,178
137,100,178
138,99,178
139,96,176
144,95,177
142,95,176
76,116,165
82,115,168
80,110,164
83,109,166
84,110,167
65,137,159
59,131,153
61,131,156
127,105,177
126,104,176
127,104,176
130,102,177
133,101,177
137,98,177
138,97,176
143,94,176
75,118,163
77,113,163
81,111,165
85,110,167
87,109,167
63,135,157
64,134,159
127,107,178
126,106,177
128,105,177
131,103,178
134,103,179
135,103,179
136,99,177
143,96,177
73,117,162
81,117,167
87,109,166
91,110,168
64,136,158
125,108,178
128,106,178
131,105,178
132,104,179
134,100,177
136,97,176
62,125,160
59,125,159
56,125,156
54,128,155
53,131,154
132,111,178
135,110,178
134,107,178
133,106,177
125,108,176
128,108,177
129,107,179
129,106,178
132,106,179
132,101,177
66,124,161
60,125,157
57,126,157
133,107,180
130,107,179
129,105,179
138,101,179
126,109,177
129,109,178
130,109,178
131,105,179
130,104,178
140,99,178
142,97,178
69,124,163
66,124,162
64,124,160
141,100,179
140,75,177
140,78,177
140,83,178
139,84,178
129,110,176
131,110,179
131,108,178
141,98,178
70,123,163
63,123,159
59,123,158
138,84,178
151,81,167
151,77,152
158,80,156
149,87,164
131,110,177
132,109,177
133,107,178
134,106,180
133,102,178
72,124,163
71,123,162
69,122,162
64,122,160
60,122,159
153,88,146
156,85,153
134,64,92
141,67,100
150,91,147
158,74,172
154,79,184
146,78,181
148,82,179
147,82,176
149,84,178
146,82,178
162,97,177
167,94,175
170,90,175
173,87,174
175,91,179
166,92,181
165,92,147
133,89,176
137,84,176
132,86,176
92,66,111
94,71,113
109,86,158
139,85,179
152,75,169
151,79,181
145,77,180
146,80,177
148,83,177
147,81,178
142,80,177
159,96,175
167,93,178
171,91,176
171,89,171
168,86,168
171,91,180
172,92,165
137,86,178
140,83,177
136,85,177
124,95,115
121,95,106
116,89,134
153,90,143
151,77,172
151,80,182
147,79,180
145,79,176
149,83,180
143,81,178
158,99,179
166,92,179
169,89,176
170,93,173
173,92,184
167,85,170
140,85,179
143,83,179
107,76,81
101,75,62
104,81,89
140,78,57
150,78,177
150,79,181
148,80,183
145,78,181
149,83,183
148,82,180
145,83,180
154,95,175
170,90,179
169,91,177
166,87,176
167,86,179
168,87,179
166,68,181
174,68,156
177,69,105
173,66,160
173,64,145
178,68,141
140,77,72
146,78,179
145,77,176
146,80,180
141,79,180
144,82,181
146,82,179
144,85,179
149,96,174
163,90,179
167,86,178
166,87,178
169,90,181
166,86,181
171,92,181
165,65,179
170,65,149
157,50,76
157,54,107
160,57,60
161,59,37
134,96,173
145,79,179
144,80,177
142,81,176
138,81,176
141,86,179
141,97,176
156,90,180
166,89,183
168,89,180
167,88,179
168,90,189
166,89,169
169,68,160
170,64,128
180,73,89
171,68,121
158,57,61
164,60,33
135,86,177
153,91,177
164,88,179
168,90,176
167,87,176
165,88,184
168,90,165
151,81,151
135,69,96
150,81,112
147,90,141
142,81,60
142,80,43
#planta
132,118,0
131,116,0
132,116,3
132,116,5
125,101,3
127,101,4
128,100,3
128,98,2
131,98,3
120,101,0
119,101,1
119,101,3
116,97,2
118,97,4
119,96,3
120,95,3
122,95,4
126,95,5
129,93,5
130,93,5
133,91,5
134,89,4
133,89,2
135,89,3
135,89,1
136,90,2
137,91,3
138,91,3
142,90,4
141,89,3
133,94,3
131,94,3
129,94,2
127,93,3
125,94,3
125,94,4
127,93,4
128,92,4
132,92,5
136,92,5
138,90,5
141,89,5
144,88,5
145,87,5
145,87,3
144,88,3
130,113,0
134,114,2
134,113,6
133,114,11
129,115,10
129,101,4
129,99,3
123,99,3
121,99,0
122,100,0
119,99,4
120,97,4
121,94,3
128,94,5
129,92,4
133,92,4
134,90,3
134,88,2
135,87,2
143,89,3
143,88,5
135,94,2
134,95,4
125,96,4
126,97,5
125,95,5
124,94,4
124,93,3
126,92,3
146,88,6
148,87,6
148,87,4
137,103,5
136,103,6
134,104,6
131,96,2
127,98,6
125,100,8
123,98,5
122,99,3
122,97,4
122,96,3
124,95,3
126,95,4
128,94,4
129,92,3
134,86,1
136,88,3
136,90,4
137,90,2
141,90,1
143,87,0
127,94,1
125,94,1
123,93,3
128,91,3
132,91,3
145,89,6
147,89,7
146,88,4
135,102,5
134,101,4
130,97,2
124,98,3
123,97,2
126,97,3
127,96,3
135,94,6
137,89,4
140,88,4
138,95,1
134,93,3
133,93,5
122,92,4
123,93,5
119,95,0
121,97,1
123,94,2
129,94,4
131,89,3
137,89,5
139,89,4
140,90,5
128,111,0
136,114,5
137,115,6
135,114,5
129,96,3
125,100,7
122,99,5
121,98,4
121,96,3
120,95,2
121,95,2
143,89,1
144,88,1
123,98,6
126,95,2
128,95,0
127,98,4
125,99,4
125,96,2
132,95,6
135,88,6
133,97,0
137,94,0
136,93,1
129,92,1
119,94,10
117,95,10
119,94,2
120,97,3
123,97,4
131,90,2
128,97,6
122,98,2
131,94,5
132,92,4
136,87,8
136,87,10
135,99,2
136,96,1
133,93,0
131,92,0
127,94,0
119,96,0
117,97,2
121,95,0
118,98,3
118,99,4
121,96,4
131,91,4
127,96,5
130,93,4
136,89,1
138,88,0
138,88,1
135,95,7
132,96,8
123,96,5
127,91,3
131,91,3
135,93,7
132,95,4
129,96,1
127,97,1
130,97,4
130,93,2
137,91,5
136,88,4
131,93,10
130,94,6
121,94,5
154,83,3
155,84,4
153,86,5
152,87,5
152,87,3
154,88,2
154,90,3
149,92,3
146,92,2
142,93,1
153,97,2
155,96,2
153,97,4
152,96,3
154,95,3
159,92,3
165,91,4
169,89,4
172,87,4
173,87,4
168,88,3
169,87,3
171,86,3
171,85,2
169,84,1
170,85,2
168,86,2
165,87,2
153,80,3
153,82,4
151,83,2
150,83,2
152,84,3
156,85,3
157,86,4
154,88,4
153,88,4
149,87,2
152,98,2
153,98,5
153,98,7
151,96,5
154,95,5
159,93,6
165,91,6
166,88,3
171,89,5
170,84,1
149,82,3
148,83,3
150,83,4
154,83,5
156,83,4
159,83,5
157,84,5
157,81,3
149,99,2
151,98,4
151,98,6
152,97,6
157,93,3
160,93,4
163,92,4
167,89,4
170,88,4
164,90,3
166,90,4
167,87,2
166,86,1
167,85,1
172,86,3
154,81,4
151,82,4
153,81,5
154,80,5
158,80,5
157,79,5
159,80,5
149,99,4
151,96,3
158,94,4
159,94,4
158,91,2
160,90,4
161,89,4
164,88,2
163,87,1
164,86,1
167,87,0
169,87,5
154,86,3
150,88,3
151,89,2
150,90,2
149,92,2
148,93,2
143,94,1
138,95,0
137,97,0
155,96,4
162,91,3
163,85,0
163,89,2
161,90,2
132,96,2
128,97,4
135,91,4
136,90,5
136,88,6
135,89,4
150,108,58
131,92,15
128,93,3
126,93,0
123,95,0
124,94,0
132,96,0
130,97,0
130,95,3
135,86,7
150,105,72
131,92,17
129,95,0
124,93,0
125,91,2
127,92,2
153,87,3
148,91,2
147,92,1
147,94,2
146,95,3
144,98,4
140,100,4
135,101,3
134,102,1
156,95,2
156,95,4
174,85,3
161,87,0
159,89,1
142,90,6
130,96,0
126,98,1
120,97,1
124,98,5
135,86,9
150,105,64
130,93,12
125,95,0
126,92,2
123,92,2
151,89,4
150,90,4
149,94,3
141,97,2
136,98,1
135,100,0
155,94,3
158,93,3
175,86,4
165,89,3
162,86,0
162,88,1
160,90,2
132,117,0
132,114,2
132,115,9
129,115,6
126,100,3
120,100,1
119,101,0
136,92,3
144,90,4
133,94,1
147,86,5
147,86,3
135,118,2
135,113,2
135,112,6
133,116,10
130,100,4
124,99,0
124,100,0
121,98,2
119,98,5
125,99,6
124,99,6
134,93,5
140,90,3
142,88,2
146,90,7
145,89,4
135,105,7
133,100,3
124,98,1
129,95,5
130,95,5
138,88,3
137,93,4
126,92,5
122,92,6
121,93,9
120,94,7
121,97,0
123,94,0
132,90,4
135,90,5
133,103,5
132,102,4
130,100,2
125,99,2
133,95,0
137,94,2
119,94,12
128,95,2
128,93,1
135,88,8
132,97,0
136,93,0
117,96,5
130,90,3
135,96,5
129,93,0
120,96,0
119,96,2
134,90,1
123,93,7
121,94,7
134,94,6
128,98,0
127,99,2
134,95,28
124,93,2
151,84,3
152,85,4
145,89,2
152,95,5
158,92,5
152,81,3
152,83,5
156,85,5
154,86,5
153,85,4
151,98,2
152,97,4
155,82,5
158,82,6
157,81,5
177,69,4
177,67,4
180,68,5
181,67,5
179,67,4
176,66,3
173,68,3
171,68,2
172,69,3
175,72,5
174,69,3
182,66,5
180,66,4
170,68,2
171,69,3
174,73,5
174,71,4
176,68,4
182,68,6
169,70,3
154,87,6
153,88,6
152,90,3
151,91,3
147,93,3
144,95,3
140,96,1
161,91,3
#fondo
50,138,152
48,136,150
49,137,151
48,137,151
47,136,150
47,137,148
48,138,149
49,137,149
48,136,148
48,136,146
51,139,149
50,138,148
49,137,147
47,135,145
50,138,150
46,133,150
45,133,147
48,135,152
48,134,151
48,130,151
49,129,152
51,128,154
52,128,154
54,129,158
53,128,157
52,126,155
58,129,157
58,127,156
58,127,158
57,126,157
64,77,122
65,78,123
65,76,122
64,75,121
68,76,123
66,76,125
63,75,123
62,74,122
64,74,123
63,73,122
66,74,121
65,73,120
55,106,169
54,105,168
53,104,167
53,107,167
52,107,164
51,106,163
50,104,164
52,106,166
54,106,166
54,104,165
56,104,166
55,103,165
55,141,164
53,139,162
57,143,166
54,140,163
51,137,160
55,142,162
52,139,159
51,137,162
52,138,163
49,137,161
51,139,163
48,138,162
49,139,163
57,141,165
60,142,166
59,141,165
59,139,164
62,144,168
60,144,168
56,142,165
52,138,161
53,141,163
54,142,164
55,143,165
55,139,163
59,143,167
58,143,164
