class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
clorosis	hue	1.542208913429637e-49	1.323147439083454e-39	7.698929240437188e-31	3.0381518866900663e-23	8.131035427007151e-17	1.475848162544943e-11	1.8168954273786905e-07	0.00015187856815130837	0.0087627383893609	0.04317531060972603	0.06339512459830159	0.08789446728580284	0.1017389652550955	0.17569648310061206	0.2308905513913587	0.2036038774343956	0.07588110701019186	0.00994884543789889	0.00016417431750320255	1.9571543844660397e-07	1.589402368478125e-11	8.756509937644056e-17	3.271856137641995e-23	8.29115461125153e-31	1.4249280118407366e-39	1.6608403683499579e-49	1.3128645319597908e-60	7.038319771834894e-73	2.5590285307805035e-86	6.31013014622465e-101	1.0552577746030725e-116	1.196839349585064e-133	9.205983952355438e-152	4.802436406327135e-171	1.6990653646758932e-191	4.076764328422911e-213	6.634041450442232e-236	7.321461960339083e-260	5.479923489687021e-285	2.781686832304e-311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
planta	hue	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7486461175385e-311	7.4348349715765e-288	1.7990565507174923e-265	5.311227318321511e-244	1.9130290125369838e-223	8.406685802767912e-204	4.507177569147011e-185	2.948228316310204e-167	2.3528495107833793e-150	2.2908875938035575e-134	2.72138510126866e-119	3.9441445025095275e-105	6.974165120930699e-92	1.5045555456167946e-79	3.960051360297787e-68	1.2716570520726816e-57	4.982138339029172e-48	2.3814318439880316e-39	1.3887918198800853e-31	9.881274225238207e-25	8.577626287878265e-19	9.084738336468546e-14	1.1742308256792632e-09	1.8558646665101593e-06	0.00036442613487919846	0.009996278368776602	0.06375511483215567	0.15239195207352585	0.15046101553837096	0.10460341038467516	0.15733618661552526	0.24446599690479384	0.10318720225792423	0.013159215199578621	0.000443378538621057	2.2308875245761935e-06	1.4093749555751088e-09	1.0901967348215445e-13	1.0293183956008988e-18	1.1857533625521776e-24	1.6665502619669247e-31	2.8577182291268082e-39	5.978566011005445e-48	1.5259884626169334e-57	4.752061632406022e-68	1.8054666547423404e-79	8.368998145117421e-92	4.732973403011117e-105	3.2656621215222157e-119	2.749065112564113e-134	2.8234194129397334e-150	3.537873979571842e-167	5.4086130829757977e-185	1.0088022963320348e-203	2.295634815044119e-223	6.373472781983639e-244	2.1588678608609908e-265	8.9218019658918e-288	4.498375341046e-311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fondo	hue	0.0055951007491816945	0.005627253978559918	0.0056029829963282155	0.005542105631479883	0.005471633482470463	0.005425021089601127	0.00544094847823677	0.005561665388185924	0.005830935632947345	0.006291630709130213	0.006983038750938625	0.007937982734734495	0.009179881760564874	0.010719937822634563	0.012554679201903332	0.014664127924064506	0.017010868494886464	0.019540266041740296	0.02218200719324099	0.02485301804404257	0.02746166166801608	0.029912953135819726	0.032114379085544535	0.03398179891975825	0.03544485843608071	0.0364513771610575	0.036970277652734	0.03699279438478752	0.0365319056073001	0.03562014101111357	0.034306097877765965	0.03265012153216556	0.030719656401744424	0.028584749708363305	0.026314102041437807	0.023971929206194478	0.02161575428919875	0.01929511367260966	0.017051055995443546	0.014916250247877884	0.012915500027437042	0.011066478775859015	0.009380543257991638	0.007863535315601411	0.006516532019879087	0.005336542473232688	0.004317171225764866	0.003449273773561529	0.0027216225648836008	0.002121587818936263	0.0016358218328338025	0.0012509227079302852	0.0009540460906896415	0.0007334321853920202	0.000578819033166471	0.0004817201156955264	0.000435552876786616	0.00043561335616898906	0.00047890013006422305	0.0005637982119808447	0.000689641014502069	0.0008561765064770506	0.0010629725644202225	0.001308805782689687	0.0015910864463679496	0.0019053780785506823	0.0022450707284625347	0.0026012609678740264	0.002962877230561941	0.003317066820860216	0.0036498324192016074	0.00394687459472943	0.004194567227807113	0.0043809697864528796	0.004496768488837592	0.004536040436662735	0.004496751541916235	0.004380928707569739	0.004194485170050817	0.003946719456029764	0.0036495467531350487	0.003316550931196549	0.0029619618876535066	0.002599664551889199	0.002242333512499308	0.001900763794158908	0.0015834382859194846	0.0012963407681304102	0.0010429950896851622	0.0008246893673557798	0.0006408310901825088	0.0004893750216809418	0.00036726967486732786	0.0002708777847935208	0.0001963390813343082	0.00013985730871805157	9.790584630384712e-05	6.735613079794333e-05	4.553975440913618e-05	3.0258631578844495e-05	1.975845260967869e-05	1.2679485242504149e-05	7.996415682945867e-06	4.956032534763127e-06	3.018686287559338e-06	1.8069530231507293e-06	1.0629694642739457e-06	6.145252927931323e-07	3.491433565546318e-07	1.9494533627723402e-07	1.0697122367477952e-07	5.768542870635047e-08	3.0571048360166474e-08	1.5922072104753063e-08	8.149554855688172e-09	4.099333345015427e-09	2.0264581062973275e-09	9.844803932910621e-10	4.700256508002825e-10	2.2053681306487002e-10	1.0169173946342336e-10	4.608242284588875e-11	2.0522486560720225e-11	8.981930742898507e-12	3.8632647452230515e-12	1.6329928625040757e-12	6.783583090620811e-13	2.769357724082183e-13	1.1110766331844783e-13	4.380805955940697e-14	1.697497199441098e-14	6.464116318908116e-15	2.4191026983003275e-15	8.897018544047872e-16	3.2157311490449207e-16	1.1422469731449588e-16	3.987359066046302e-17	1.3679043263681813e-17	4.611807241598317e-18	1.5280290732849628e-18	4.975504631501362e-19	1.5921636297246702e-19	5.007065929168189e-20	1.5474761616552415e-20	4.700127855962194e-21	1.4029442819071453e-21	4.1154394974460688e-22	1.1864161945511039e-22	3.361266582335681e-23	9.358664880790586e-24	2.560765919684894e-24	6.886061755880225e-25	1.8197720566108188e-25	4.726156705497014e-26	1.206269340941997e-26	3.02569751665054e-27	7.458504818798268e-28	1.806854107267345e-28	4.3016933360547015e-29	1.0064700429418859e-29	2.314234191931349e-30	5.229483602644145e-31	1.1613292165868029e-31	2.53452713624304e-32	5.436051788003079e-33	1.1458170289368366e-33	2.37351513843394e-34	4.831853814708067e-35	9.666752817527945e-36	1.900607714222175e-36	3.6723951776018237e-37	6.973509164446088e-38	1.301362806676533e-38	2.386659433717002e-39	4.301575593198576e-40	7.619205969724443e-41	1.3262851758422298e-41	2.2688676541585787e-42	3.814401976047221e-43	6.302150939315084e-44	1.0232840129745685e-44	1.6328587748558036e-45	2.5606257387172835e-46	3.94628671546372e-47	5.976903048790708e-48	8.896287995665846e-49	1.3013271867097845e-49	1.870721850746452e-50	2.6428771848087753e-51	3.669355514063585e-52	5.006654790999424e-53	6.713524080014011e-54	8.847050390898058e-55	1.1457543048360435e-55	1.4582417938974833e-56	1.823948751081719e-57	2.2420266394721362e-58	2.7084071546017546e-59	3.2153790887788516e-60	3.751418021651054e-61	4.301340117154432e-62	4.846822949388947e-63	5.367296328239997e-64	5.841159130437722e-65	6.247230774148596e-66	6.566305843027995e-67	6.782654764653669e-68	6.885307865513881e-69	6.868977000858999e-70	6.7345069813388944e-71	6.488803153613057e-72	6.144243776327404e-73	5.717646798876438e-74	5.228911075494739e-75	4.6994846485774647e-76	4.150823445794397e-77	3.602992298862261e-78	3.073529977284553e-79	2.5766570573640517e-80	2.122857451646287e-81	1.7188187887130118e-82	1.3676796939793908e-83	1.069507297818788e-84	8.21917358221148e-86	6.207512452180429e-87	4.607359422632261e-88	3.3607146070790295e-89	2.409107728653133e-90	1.6971719874390393e-91	1.1750072215298243e-92	7.994664873567586e-94	5.345705603236338e-95	3.5128116058139204e-96	2.2685571620880332e-97	1.4397584683373795e-98	8.979964155717707e-100	5.504331879141303e-101	3.3157338770497132e-102	1.9629072015911549e-103	1.1419968790038083e-104	6.529427626537243e-106	3.668853366752563e-107	2.0259589601644634e-108	1.0994512550592476e-109	5.863627350540735e-111	3.073277604836442e-112	1.5830049297762144e-113	8.013233357204645e-115	3.9863769214603307e-116	1.948919838136411e-117	9.36385412812172e-119	4.421405524591273e-120	2.0516869985130274e-121	9.356359705386603e-123	4.193221078697623e-124	1.8468586481562076e-125
clorosis	saturation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3023e-320	2.0868109e-315	7.599902615188e-311	2.561357502538951e-306	7.988580671637203e-302	2.305718673466428e-297	6.158575753969765e-293	1.522269524174579e-288	3.4820910883752524e-284	7.370993517534728e-280	1.443940427672169e-275	2.617639815340475e-271	4.391449432316312e-267	6.817784886604299e-263	9.795263815415602e-259	1.3023461852711269e-254	1.6024121840356633e-250	1.8245659155304704e-246	1.9225712068074968e-242	1.874748022612476e-238	1.6917687892826316e-234	1.4127873258266235e-230	1.0918181149010228e-226	7.80839141590342e-223	5.167859332639874e-219	3.165174657850239e-215	1.794000778431163e-211	9.40991270218884e-208	4.567585187654914e-204	2.0517568494914738e-200	8.52910359150542e-197	3.2810982980617013e-193	1.168082588135276e-189	3.8482778824575015e-186	1.1732700465559332e-182	3.310307621506063e-179	8.643261938128223e-176	2.0884596790390846e-172	4.6699666171844865e-169	9.663643329783422e-166	1.8505790125828134e-162	3.279549573292977e-159	5.378495567886653e-156	8.162960887179534e-153	1.1465029028016662e-149	1.4901960989385601e-146	1.7924737587568224e-143	1.995279020368674e-140	2.0553995732381233e-137	1.959435911547069e-134	1.7286554903453719e-131	1.4113309471091588e-128	1.0663328452467276e-125	7.455911307034427e-123	4.824510588577845e-120	2.889022895324619e-117	1.601011848837416e-114	8.210784580819881e-112	3.8969253251446752e-109	1.7116211687154417e-106	6.957324296035018e-104	2.6171393298032414e-101	9.110925248618584e-99	2.9352851318314697e-96	8.751681396859402e-94	2.4148347474491004e-91	6.166510500523057e-89	1.4573008582070262e-86	3.187266097550619e-84	6.451320095419215e-82	1.2084869897881664e-79	2.0950799704270485e-77	3.361450790918785e-75	4.991406233745545e-73	6.859489026072032e-71	8.724412847911742e-69	1.0269738654192028e-66	1.1188315947360159e-64	1.1281215356855233e-62	1.0527782276704708e-60	9.09310216959408e-59	7.269191615491736e-57	5.3785366116953994e-55	3.683423341648628e-53	2.3348266232635462e-51	1.36987091924798e-49	7.439328567356976e-48	3.739595337073634e-46	1.7400455499790912e-44	7.494641495519476e-43	2.98816969844841e-41	1.1028960940830378e-39	3.768345077458647e-38	1.191972722540748e-36	3.490564013137214e-35	9.463546313080664e-34	2.3755166418965516e-32	5.52111233001548e-31	1.1881731477928159e-29	2.36777194920699e-28	4.369498846439061e-27	7.46762005234383e-26	1.1820115896531371e-24	1.732940261040339e-23	2.3534496520818377e-22	2.9609226908329156e-21	3.4514078194346595e-20	3.7279004248232793e-19	3.73154993481043e-18	3.462075672560649e-17	2.9776936317958086e-16	2.374669128743396e-15	1.756307085295008e-14	1.2049790037879883e-13	7.67118279435843e-13	4.533024033244895e-12	2.4872234725737383e-11	1.2677183689289028e-10	6.005050025029378e-10	2.6450168489653367e-09	1.0839780903942645e-08	4.1360693268230526e-08	1.4704833615564726e-07	4.875320903766121e-07	1.5087562571804702e-06	4.362593464554042e-06	1.179911347865325e-05	2.988339484487964e-05	7.095864445977165e-05	0.00015816478757425015	0.0003313498483673955	0.0006532567574444966	0.0012135325183643651	0.002126887481002872	0.003521526212844642	0.005515735949181998	0.008184590404843015	0.0115241257591466	0.015424679523243237	0.019665516161439075	0.02393788237119441	0.027894466842661045	0.031213652208269393	0.03366124261001661	0.035132888394611914	0.03566651621931905	0.03542288144639041	0.034640822258124496	0.03357985044507875	0.032465320119408184	0.03145006640877404	0.030601130228027067	0.029912110214505034	0.02933334690981704	0.028806778360363786	0.02829222365677958	0.027776999862392703	0.027268599163264618	0.02677698204281087	0.026296129841571987	0.02579329033925623	0.0252102870364177	0.02447651955881701	0.02352947315928972	0.02233628204787786	0.020909191630685234	0.019308795957936924	0.01763207809377032	0.015987460634818113	0.014464808762817452	0.013111789724436575	0.011926489563636528	0.010869342894375866	0.009888260794720704	0.008944435503649496	0.008026615435265307	0.007148646129057406	0.006334499467190034	0.005601139790146277	0.0049490341454933	0.004363987289202636	0.0038267407968873316	0.003323016711523095	0.002848121111299086	0.0024049572144198604	0.001998634648745934	0.0016320789017323794	0.0013050708260344494	0.0010160936275076427	0.0007645942749454488	0.0005516590984206503	0.00037879454718260506	0.0002459560371737202	0.00015025197726045128	8.602050955287268e-05	4.601967616759563e-05	2.2957043086157455e-05	1.0661874155114087e-05	4.604534222153084e-06	1.8475083495766772e-06	6.882378582132101e-07	2.3790797005151354e-07	7.628010058862308e-08	2.267742269854062e-08	6.24929667496469e-09	1.59594926272294e-09	3.7763255518342e-10	8.277657297194581e-11	1.6806194692167115e-11	3.1600993197397422e-12	5.502432078387044e-13	8.871377983320782e-14	1.3242664277080797e-14	1.830112711039055e-15	2.341385547361657e-16	2.7729285298596307e-17
planta	saturation	1.1280508587938785e-299	7.620836120059389e-296	4.861021577598746e-292	2.9275441907817596e-288	1.664678437472187e-284	8.93733903787228e-281	4.530405715575242e-277	2.1682878894905502e-273	9.798233303267168e-270	4.1805131363447176e-266	1.684078739452387e-262	6.405398862408077e-259	2.300281295076991e-255	7.799498916654185e-252	2.496913174282753e-248	7.547292195222239e-245	2.1539215041516566e-241	5.803895241387841e-238	1.4765910869178818e-234	3.5469241814206e-231	8.04441658583248e-228	1.7226148449644927e-224	3.482834225241729e-221	6.648572470702735e-218	1.1983260380181531e-214	2.03925986015832e-211	3.2765826830698626e-208	4.970735778328464e-205	7.119856032939779e-202	9.62881255313872e-199	1.2294906758207356e-195	1.4822748303388366e-192	1.687264684931059e-189	1.8133794401658052e-186	1.8401157689003362e-183	1.763001151642572e-180	1.5948176557457807e-177	1.362135979846828e-174	1.098451499134808e-171	8.363581621313873e-169	6.012494702922885e-166	4.0810142246532006e-163	2.615366196552718e-160	1.5825152405127316e-157	9.040954740723894e-155	4.876763443787817e-152	2.483705433271196e-149	1.1943166584504503e-146	5.422379381853304e-144	2.3244024301943948e-141	9.407706399337472e-139	3.5950688081509824e-136	1.2971245533045817e-133	4.418828834732359e-131	1.4212933023414806e-128	4.316296563420909e-126	1.2376273173532706e-123	3.350576571335635e-121	8.564465547759276e-119	2.0669599116085835e-116	4.7099350526318336e-114	1.0133252691601195e-111	2.0584196981524703e-109	3.947935988427905e-107	7.149199372690239e-105	1.2223508135446635e-102	1.973265372724496e-100	3.007643229624293e-98	4.328310043504046e-96	5.881141867158374e-94	7.544947653707208e-92	9.139072545685379e-90	1.045199944534565e-87	1.1286207662492137e-85	1.1506630126100866e-83	1.1076429435326987e-81	1.0067067903418763e-79	8.638888433134374e-78	6.999458932008259e-76	5.354549083280183e-74	3.8675262696391405e-72	2.6375195774294715e-70	1.6982839091336252e-68	1.0324694949735387e-66	5.926477790586518e-65	3.2119500213415486e-63	1.6435911456747744e-61	7.940940474019056e-60	3.622459081604467e-58	1.5602304059162687e-56	6.34494738044191e-55	2.4362493246957363e-53	8.832228304593608e-52	3.0232507689195065e-50	9.770885666790294e-49	2.981605476188729e-47	8.590602023411383e-46	2.336979899320661e-44	6.002679910284615e-43	1.455778208965343e-41	3.333543901441343e-40	7.207411827070145e-39	1.4713504010519975e-37	2.8360775629786212e-36	5.161633031643515e-35	8.870032679511417e-34	1.4392449015999418e-32	2.205048652318315e-31	3.189911266766418e-30	4.357318625759238e-29	5.620100775670698e-28	6.844744365438601e-27	7.871609664155133e-26	8.548079240274645e-25	8.765534721306084e-24	8.487899301777994e-23	7.76143346041638e-22	6.702126707373657e-21	5.465407978419705e-20	4.209044017600485e-19	3.061318628724936e-18	2.10287205412873e-17	1.364311488324835e-16	8.360457954758315e-16	4.839322869975034e-15	2.6460762228701757e-14	1.3668222698616753e-13	6.670316098266872e-13	3.0756914884972775e-12	1.3401199687092373e-11	5.518203641447016e-11	2.1476346312839268e-10	7.901237769966484e-10	2.748365408236353e-09	9.040271763062843e-09	2.812621841109815e-08	8.278911141943166e-08	2.3061761624271045e-07	6.081535557584487e-07	1.5188030835750693e-06	3.593754858413761e-06	8.060743484365347e-06	1.7148926905682978e-05	3.462821219074154e-05	6.641988948750445e-05	0.00012112697171099287	0.00021024408939445666	0.00034776844220067233	0.0005490027022062692	0.0008285489905393101	0.0011978079743574911	0.001662609983971958	0.002221762572999627	0.002867178124001023	0.0035858340917546486	0.004363250973740318	0.005187682228772846	0.006054015060266116	0.006966562960566121	0.007940373719134766	0.009001111326730865	0.010183720230799284	0.011529841784427178	0.013083509737959919	0.014884431343674015	0.016958599374343804	0.01930719646639947	0.02189632979798881	0.02465121023492664	0.027458095504903798	0.03017534138665517	0.032651840469322485	0.034748305166662885	0.036355683626152394	0.03740617754295762	0.037875366932333565	0.037777350073710456	0.03715687926334011	0.036082253982179735	0.03464054425688075	0.0329339697088361	0.031074633825152295	0.02917529674887309	0.02733621910423501	0.02563100749931068	0.024096183111468862	0.022728766785286198	0.02149354308678461	0.020337983318321404	0.019209803455221594	0.018071257224887016	0.01690594402877904	0.01571730899183679	0.014521443595871014	0.013338609361292202	0.012187361118695148	0.011082779128170765	0.010037604842229228	0.009063560089973095	0.008170558772284736	0.007363457270449311	0.0066381344077139776	0.005979683717196621	0.005364722141244926	0.004767726980343277	0.004169125472812959	0.0035618149100065527	0.0029534274810933394	0.0023635620680380748	0.0018173342599723252	0.0013378996417048052	0.0009405990753594636	0.0006302937025230969	0.00040199646821585883	0.00024377155606712352	0.0001404354559405986	7.681245430642556e-05	3.9868367149805335e-05	1.9628352093654158e-05	9.163026358876133e-06	4.054635266975232e-06	1.700170797625199e-06	6.753679213955608e-07	2.540867053147658e-07	9.051278771727936e-08	3.052271240460585e-08	9.741500205783379e-09	2.941900963260967e-09	8.405146380658726e-10	2.2714264165846598e-10	5.8051693633712015e-11	1.4028979306255551e-11	3.2053071363139896e-12	6.922902010407803e-13	1.4132830044063498e-13	2.7267455088646497e-14	4.971541384926924e-15	8.565032835378226e-16	1.3941928316523236e-16	2.144076648523224e-17	3.1149596759119306e-18	4.274970814155864e-19	5.541905216522026e-20	6.78592855523006e-21	7.84810763388695e-22	8.572535793359161e-23	8.843564508747862e-24	8.615999689940725e-25	7.92742842247727e-26	6.888055651570774e-27	5.651830390280592e-28	4.3792654963369045e-29	3.20424388644679e-30	2.2138860547383116e-31	1.4443897257480384e-32	8.898311672222397e-34
fondo	saturation	0.03521911599247742	0.04203778319231053	0.05279287976994151	0.05889164973880648	0.04752326233700965	0.04055168884626945	0.06953791414369341	0.12994368929202832	0.17617400293657828	0.16256891379807387	0.09876332059526366	0.03812557674170252	0.009075099740986059	0.0013038134511770458	0.00011150579030084873	5.628495481185827e-06	1.668299916401361e-07	2.8948316534612923e-09	2.935373731630801e-11	1.7375581120040754e-13	6.000466749970592e-16	1.2084956971729117e-18	1.4191519436343038e-21	9.715910715179678e-25	3.877735021189305e-28	9.021832495212488e-32	1.2235533937718035e-35	9.672896007524661e-40	4.457506408674834e-44	1.197366828529479e-48	1.8748263428856033e-53	1.7111683735592676e-58	9.103783152312729e-64	2.823243171097415e-69	5.103542675545075e-75	5.377646074101649e-81	3.3030080717771317e-87	1.1825621645625647e-93	2.467943622597693e-100	3.0022260538005143e-107	2.128866556278547e-114	8.799345717132499e-122	2.120065176179466e-129	2.9774531226717766e-137	2.437460244167839e-145	1.1631267314745632e-153	3.2352915285573233e-162	5.245618370110841e-171	4.95766126331673e-180	2.7312024635258026e-189	8.77057018727952e-199	1.6417183351366099e-208	1.7912918745562143e-218	1.1392812515859383e-228	4.2236938607741845e-239	9.127478139790475e-250	1.1497569880302044e-260	8.442249856813464e-272	3.613326716458181e-283	9.014738853115712e-295	1.3109796656347399e-306	1.11129e-318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
